Country or Area,Year(s),WEALTH QUINTILE,Value
Albania,2008,Q1 (Poorest),18.2
Albania,2008,Q2,19
Albania,2008,Q3,39.8
Albania,2008,Q4,14.7
Albania,2008,Q5 (Richest),5.9
Albania,2008,,37
Albania,2008,,5.7
Armenia,2010,Q1 (Poorest),50.1
Armenia,2010,Q2,30.7
Armenia,2010,Q3,23.4
Armenia,2010,Q4,20.2
Armenia,2010,Q5 (Richest),12.1
Armenia,2005,Q1 (Poorest),47.1
Armenia,2005,Q2,39
Armenia,2005,Q3,37.9
Armenia,2005,Q4,34.6
Armenia,2005,Q5 (Richest),12.3
Armenia,2005,,32.9
Armenia,2000,,57.4
Armenia,2000,,38.2
Armenia,2000,Q1 (Poorest),110.2
Armenia,2000,Q2,72.9
Armenia,2000,Q3,39
Armenia,2000,Q4,45.3
Armenia,2000,Q5 (Richest),34.4
Azerbaijan,2006,Q1 (Poorest),59.6
Azerbaijan,2006,Q2,54.6
Azerbaijan,2006,Q3,33.8
Azerbaijan,2006,Q4,24.9
Azerbaijan,2006,Q5 (Richest),15.6
Azerbaijan,2006,,68.9
Azerbaijan,2006,,104
Azerbaijan,2006,,34.4
Benin,2006,,170.6
Benin,2006,,94.1
Benin,2006,,27.8
Benin,2006,Q1 (Poorest),172.6
Benin,2006,Q2,155.1
Benin,2006,Q3,147.8
Benin,2006,Q4,104.4
Benin,2006,Q5 (Richest),40.4
Benin,2001,,142.8
Benin,2001,,88
Benin,2001,,23.1
Benin,2001,Q1 (Poorest),163.7
Benin,2001,Q2,145
Benin,2001,Q3,145.3
Benin,2001,Q4,95
Benin,2001,Q5 (Richest),37.8
Benin,1996,Q1 (Poorest),186
Benin,1996,Q2,167.3
Benin,1996,Q3,152.4
Benin,1996,Q4,107.8
Benin,1996,Q5 (Richest),38.6
Benin,1996,,153.6
Benin,1996,,92.8
Benin,1996,,18.7
Bolivia (Plurinational State of),2008,,191.8
Bolivia (Plurinational State of),2008,,191.1
Bolivia (Plurinational State of),2008,,53.9
Bolivia (Plurinational State of),2008,Q1 (Poorest),176.9
Bolivia (Plurinational State of),2008,Q2,121.3
Bolivia (Plurinational State of),2008,Q3,101.8
Bolivia (Plurinational State of),2008,Q4,67.5
Bolivia (Plurinational State of),2008,Q5 (Richest),28.9
Bolivia (Plurinational State of),2008,,134.8
Bolivia (Plurinational State of),2003,Q1 (Poorest),169.1
Bolivia (Plurinational State of),2003,Q2,156.9
Bolivia (Plurinational State of),2003,Q3,106.7
Bolivia (Plurinational State of),2003,Q4,78.6
Bolivia (Plurinational State of),2003,Q5 (Richest),41.2
Bolivia (Plurinational State of),2003,,78.4
Bolivia (Plurinational State of),2003,,224.8
Bolivia (Plurinational State of),2003,,173.5
Bolivia (Plurinational State of),2003,,55.8
Bolivia (Plurinational State of),1998,,71
Bolivia (Plurinational State of),1998,Q1 (Poorest),173.5
Bolivia (Plurinational State of),1998,Q2,131
Bolivia (Plurinational State of),1998,Q3,101
Bolivia (Plurinational State of),1998,Q4,70
Bolivia (Plurinational State of),1998,Q5 (Richest),31.1
Bolivia (Plurinational State of),1998,,167.5
Bolivia (Plurinational State of),1998,,166.6
Bolivia (Plurinational State of),1998,,58.9
Bolivia (Plurinational State of),1994,,82.2
Bolivia (Plurinational State of),1994,Q1 (Poorest),138.6
Bolivia (Plurinational State of),1994,Q2,136.9
Bolivia (Plurinational State of),1994,Q3,107.5
Bolivia (Plurinational State of),1994,Q4,89.5
Bolivia (Plurinational State of),1994,Q5 (Richest),42.1
Bolivia (Plurinational State of),1994,,154.4
Bolivia (Plurinational State of),1994,,148
Bolivia (Plurinational State of),1994,,68.9
Brazil,1996,,281.2
Brazil,1996,,142.5
Brazil,1996,,65.6
Brazil,1996,Q1 (Poorest),167.6
Brazil,1996,Q2,106.1
Brazil,1996,Q3,77.9
Brazil,1996,Q4,62.4
Brazil,1996,Q5 (Richest),33.8
Brazil,1996,,80.5
Burkina Faso,2003,,157.2
Burkina Faso,2003,,97
Burkina Faso,2003,,34.5
Burkina Faso,2003,Q1 (Poorest),168.3
Burkina Faso,2003,Q2,167.8
Burkina Faso,2003,Q3,153.9
Burkina Faso,2003,Q4,143.1
Burkina Faso,2003,Q5 (Richest),65.3
Burkina Faso,1998,,160.2
Burkina Faso,1998,,114.1
Burkina Faso,1998,,44.1
Burkina Faso,1998,Q1 (Poorest),167.6
Burkina Faso,1998,Q2,156.7
Burkina Faso,1998,Q3,159.4
Burkina Faso,1998,Q4,168.2
Burkina Faso,1998,Q5 (Richest),89.1
Cambodia,2010,,91.1
Cambodia,2010,,72.2
Cambodia,2010,,27.7
Cambodia,2010,Q1 (Poorest),83.5
Cambodia,2010,Q2,60
Cambodia,2010,Q3,49.7
Cambodia,2010,Q4,42.4
Cambodia,2010,Q5 (Richest),23.3
Cambodia,2010,,56.1
Cambodia,2005,,38.1
Cambodia,2005,,91.6
Cambodia,2005,,64.9
Cambodia,2005,,21.2
Cambodia,2005,Q1 (Poorest),85.3
Cambodia,2005,Q2,64.8
Cambodia,2005,Q3,52.3
Cambodia,2005,Q4,49
Cambodia,2005,Q5 (Richest),29.9
Cambodia,2000,,73.7
Cambodia,2000,,48
Cambodia,2000,,35
Cambodia,2000,,54
Cambodia,2000,Q1 (Poorest),60.1
Cambodia,2000,Q2,56.7
Cambodia,2000,Q3,60.6
Cambodia,2000,Q4,62
Cambodia,2000,Q5 (Richest),26.6
Cameroon,2004,Q1 (Poorest),211.3
Cameroon,2004,Q2,192.6
Cameroon,2004,Q3,164.6
Cameroon,2004,Q4,115.9
